,VI (V),II (A),VO (V),IO (A),P (W),DUTY (%),CI (F),CO (F),L (H),VIm (V),VIpp (V),VOm (V),VOpp (V),IIm (A),IIpp (A),PSW_COND (W),PSW_SW (W),PSW_TOT (W),T_DEAD (ns),PI_RIPPLE (W),PI_LEAK (W),PI_TOT (W),PO_RIPPLE (W),PO_LEAK (W),PO_TOT (W),PL_COND (W),PL_CORE (W),PL_TOT (W),P_LOSS (W),EFF (%)
1756,42.81186440677966,6.140000000000385,117.80338983050848,2.231386107274542,262.86484745764363,0.6365820672191529,1.2026230134466435e-05,2.3674339682215435e-05,0.00015737166478358656,42.847523745024176,0.07131867648902646,118.13220010387258,0.6576205467282065,6.704843917793474,1.129687835586179,0.6322137558864362,0.8493114857201954,1.4815252416066316,15.84559126495553,0.005742875726421236,0.0011311746268686381,0.006874050353289874,0.02871437863210618,0.1020662208897459,0.1307805995218521,0.8362891450268904,0.00702749402169529,0.8433166390485858,3.944021772136991,98.49960091268099
1757,42.81186440677966,6.140000000000385,118.72542372881357,2.214056932389358,262.86484745764363,0.6394044084056647,1.2026230134466435e-05,2.3594629383847964e-05,0.00015806938555515792,42.84768184375833,0.07163487395733056,119.05312691470034,0.6554063717735547,6.707348201742443,1.134696403484116,0.6345172107043382,0.8626584458626833,1.4971756565670216,15.969612927710706,0.005793911676359046,0.0011311788006752197,0.0069250904770342655,0.028969558381795223,0.10286190165430109,0.1318314600360963,0.8369139758577595,0.007097794495230037,0.8440117703529896,3.977119634000163,98.48700970385893
1758,42.81186440677966,6.140000000000385,119.64745762711865,2.1969948436084787,262.86484745764363,0.6421832502266547,1.2026230134466435e-05,2.3514554823328226e-05,0.0001587563526974304,42.84783750579395,0.07194619802857107,119.97404866633154,0.6531820784257841,6.709813888386668,1.1396277767725655,0.636810050935495,0.876109463937949,1.512919514873444,16.093634590465886,0.005844381613162112,0.00113118291015296,0.006975564523315072,0.029221908065810556,0.10365757804771045,0.13287948611352102,0.8375294044427541,0.007167343734297731,0.8446967481770519,4.010390828560776,98.47435255518256
1759,42.81186440677966,6.140000000000385,120.56949152542373,2.1801937134504294,262.86484745764363,0.6449195906432749,1.2026230134466435e-05,2.343416062002487e-05,0.000159432812919848,42.8479907870337,0.07225276050807866,120.89496597847963,0.6509489061118019,6.712241863224368,1.144483726447966,0.6390925200994397,0.8896645399459924,1.528757060045432,16.217656253221058,0.005894293500469002,0.0011311869567776896,0.007025480457246692,0.029471467502345004,0.1044532506054064,0.13392471810775142,0.8381356412979173,0.007236150920236674,0.845371792218154,4.043836110874016,98.46162917941106
1760,42.81186440677966,6.140000000000385,121.49152542372882,2.1636476004465646,262.86484745764363,0.6476143973214286,1.2026230134466435e-05,2.335348894631928e-05,0.00016009900544246107,42.84814174168321,0.07255466980709376,121.81587943687214,0.6487080262866467,6.714632984872567,1.149265969744365,0.6413648543231498,0.9033236738868141,1.544688528209964,16.341677915976234,0.00594365521145605,0.0011311909419804366,0.007074846153436487,0.029718276057280245,0.10524891983345752,0.13496719589073777,0.8387328907049846,0.0073042252099973295,0.8460371159149819,4.077456214379084,98.4488392975268
1761,42.81186440677966,6.140000000000385,122.4135593220339,2.147350742135713,262.86484745764363,0.6502686087727072,1.2026230134466435e-05,2.327257966059384e-05,0.0001607551622779812,42.84829042231496,0.0728520310705898,122.7367895950977,0.6464605461276067,6.716988086079456,1.1539761721581423,0.6436272826194533,0.9170868657604136,1.560714148379867,16.465699578731414,0.005992474526589413,0.001131194867149115,0.007123669393738528,0.02996237263294706,0.10604458621016441,0.13600695884311148,0.8393213509403273,0.007371575727270016,0.8466929266675973,4.111251851664182,98.43598263844441
1762,42.81186440677966,6.140000000000385,123.33559322033898,2.131297548373045,262.86484745764363,0.6528831354441513,1.2026230134466435e-05,2.3191470432437107e-05,0.00016140150850118483,42.848436879929345,0.07314494629936337,123.65769697634505,0.6442075120121418,6.719307974691343,1.1586159493819157,0.6458800271529483,0.930954115566791,1.5768341427197394,16.58972124148659,0.006040759131729711,0.0011311987336301346,0.007171957865359846,0.03020379565864855,0.10684025018756212,0.13704404584621066,0.8399012144938874,0.007438211554450172,0.8473394260483376,4.145223715199387,98.42305893873188
1763,42.81186440677966,6.140000000000385,124.25762711864408,2.1154825949368417,262.86484745764363,0.6554588607594938,1.2026230134466435e-05,2.3110196860563997e-05,0.0001620382625063226,42.848581164013005,0.07343351446668855,124.5786020750408,0.6419499127934443,6.721593434576558,1.1631868691523466,0.6481233034940859,0.9449254233059468,1.5930487268000326,16.71374290424177,0.0060885166165579735,0.0011312025427299432,0.0072197191592879165,0.03044258308278986,0.10763591219283525,0.1380784952756251,0.8404726682786098,0.007504141725375451,0.8479768100039853,4.179372478038964,98.41006794234349
1764,44.03220338983051,6.140000000000385,80.0,3.3794716101697033,270.3577288135763,0.44959745762711867,1.2026230134466435e-05,2.532336406758873e-05,0.00011431474782643185,44.058106326453085,0.0518058732451577,80.35171338982762,0.7034267796552425,6.550302516102034,0.820605032203298,0.516498416628509,0.39168000000000003,0.9081784166285091,10.760703091993284,0.0030302667849481904,0.0011631340070183613,0.004193400791966551,0.01515133392474095,0.06942388036881106,0.08457521429355201,0.7981818175726887,0.0033660384352808366,0.8015478560079695,2.7066733043505065,98.99885484456897
1765,44.03220338983051,6.140000000000385,80.92203389830509,3.3409655663540967,270.3577288135763,0.4558688002680965,1.2026230134466435e-05,2.5384032741181063e-05,0.00011590930077679821,44.05846764119856,0.052528502736103155,81.27458990859927,0.7051120205883628,6.5560257416703225,0.8320514833398739,0.5195987341472601,0.40076058489859245,0.9203593190458526,10.88472475474846,0.0031153935191763796,0.0011631435457276418,0.004278537064904021,0.015576967595881895,0.07022124568102976,0.08579821327691166,0.7995772249637841,0.0034773631203402515,0.8030545880841244,2.7338499765176456,98.98880272869775
